,ProjectID,BuildingID,Number,Street,Borough,Postcode,Latitude,Longitude,Longitude(Internal),Latitude(Internal),LowIncomeUnits
246,67484,840577.0,4001,DE REIMER AVENUE,Bronx,10466.0,40.890405,-73.841773,-73.842055,40.890409999999996,2
247,67484,840660.0,1451,KNAPP STREET,Bronx,10469.0,40.869958000000004,-73.844273,-73.844472,40.87003,3
248,67484,840897.0,2536,WILLIAMSBRIDGE ROAD,Bronx,10469.0,40.863968,-73.85854599999999,-73.858354,40.86415,3
249,67484,841033.0,1122,EAST 222 STREET,Bronx,10469.0,40.881831,-73.84976,-73.84983299999999,40.8816,2
250,67484,841066.0,1455,KNAPP STREET,Bronx,10469.0,40.86998,-73.844197,-73.844305,40.87008,3
251,67484,841071.0,3920,MURDOCK AVENUE,Bronx,10466.0,40.889301,-73.839425,-73.839197,40.88943,3
252,67484,842015.0,3215,CRUGER AVENUE,Bronx,10467.0,40.871827,-73.866155,-73.866419,40.872009999999996,3
253,67484,843287.0,2538,WILLIAMSBRIDGE ROAD,Bronx,10469.0,40.86399,-73.85855699999999,-73.858372,40.86421,2
254,67484,886213.0,4712,RICHARDSON AVENUE,Bronx,10470.0,40.904339,-73.85099,-73.85091800000001,40.90416,3
255,67487,70359.0,936,EAST 224 STREET,Bronx,10466.0,40.884907,-73.853995,-73.85378299999999,40.88458,3
256,67487,70360.0,938,EAST 224 STREET,Bronx,10466.0,40.884896000000005,-73.85395600000001,-73.85369200000001,40.88455,2
257,67487,899636.0,736,EAST 220 STREET,Bronx,10467.0,40.883903000000004,-73.86125600000001,-73.86122399999999,40.88365,9
258,67487,899677.0,717,EAST 220 STREET,Bronx,10467.0,40.884049,-73.861657,-73.86158,40.88425,8
259,67487,899698.0,715,EAST 220 STREET,Bronx,10467.0,40.88406,-73.86169699999999,-73.861664,40.88428,9
260,67487,899700.0,738,EAST 220 STREET,Bronx,10467.0,40.88389,-73.861212,-73.861141,40.88363,9
261,67487,927249.0,934,EAST 225 STREET,Bronx,10466.0,40.88562,-73.853625,-73.853615,40.88537,3
262,67487,927254.0,940,EAST 225 STREET,Bronx,10466.0,40.885582,-73.85350600000001,-73.85343,40.88531,2
263,67487,927282.0,933,EAST 224 STREET,Bronx,10466.0,40.884949,-73.85406400000001,-73.853691,40.885090000000005,3
264,67487,927390.0,935,EAST 224 STREET,Bronx,10466.0,40.884938,-73.854028,-73.853594,40.88503,3
265,67487,927393.0,621,EAST 231 STREET,Bronx,10466.0,40.89282,-73.860517,-73.86068,40.89297,10
266,67487,927420.0,4152,CARPENTER AVENUE,Bronx,10466.0,40.893183,-73.860871,-73.860636,40.89305,10
267,67487,931142.0,2512,CRUGER AVENUE,Bronx,10467.0,40.863928,-73.866377,-73.866114,40.8636,8
268,67487,931143.0,2514,CRUGER AVENUE,Bronx,10467.0,40.863942,-73.866377,-73.86610999999999,40.86367,8
269,67618,71062.0,848,EAST 228 STREET,Bronx,10466.0,40.888551,-73.85500400000001,-73.854802,40.88824,3
270,67618,73286.0,677,EAST 241 STREET,Bronx,10470.0,40.903748,-73.85099100000001,-73.851038,40.90401,2
271,67618,875189.0,3709,LACONIA AVENUE,Bronx,10469.0,40.878251,-73.853301,-73.853464,40.878370000000004,3
272,67618,875694.0,914,EAST 230 STREET,Bronx,10466.0,40.889269,-73.852051,-73.85215600000001,40.88906,3
273,67618,876224.0,924,EAST 230 STREET,Bronx,10466.0,40.889203,-73.851845,-73.851831,40.88895,3
274,67618,883859.0,4129,SETON AVENUE,Bronx,10466.0,40.8946,-73.838605,-73.839017,40.894890000000004,3
275,67618,912708.0,722,EAST 220 STREET,Bronx,10467.0,40.883994,-73.861541,-73.861643,40.883790000000005,8
276,67618,912724.0,720,EAST 220 STREET,Bronx,10467.0,40.884008,-73.861581,-73.861726,40.88381,7
277,67618,937491.0,3250,WICKHAM AVENUE,Bronx,10469.0,40.875382,-73.840525,-73.840581,40.87596,2
278,67618,947544.0,3248,WICKHAM AVENUE,Bronx,10469.0,40.875349,-73.84050699999999,-73.84052700000001,40.8759,2
279,67618,950687.0,746,EAST 227 STREET,Bronx,10466.0,40.888774,-73.85830899999999,-73.858161,40.888490000000004,3
280,67618,950724.0,748,EAST 227 STREET,Bronx,10466.0,40.888760999999995,-73.85826899999999,-73.858082,40.888459999999995,3
283,67752,88700.0,749,JENNINGS STREET,Bronx,10459.0,40.831828,-73.89814399999999,-73.898103,40.832,10
284,67752,88703.0,759,JENNINGS STREET,Bronx,10459.0,40.831877,-73.89766999999999,-73.89766999999999,40.83213,15
285,67752,88704.0,763,JENNINGS STREET,Bronx,10459.0,40.831891,-73.897529,-73.897525,40.832159999999995,16
286,68640,971685.0,15,CEDAR STREET,Brooklyn,11221.0,40.696225,-73.928975,-73.929105,40.69639,0
291,68638,990456.0,14-45,31 AVENUE,Queens,11106.0,40.76812,-73.931682,-73.930205,40.76782,0
292,68639,980688.0,2825,SNYDER AVENUE,Brooklyn,11226.0,40.648859,-73.95099,-73.950395,40.64912,0
293,65275,91400.0,1025,LEGGETT AVENUE,Bronx,10455.0,40.813912,-73.89953299999999,-73.899248,40.81389,47
294,68635,980689.0,2823,SNYDER AVENUE,Brooklyn,11226.0,40.648859,-73.951004,-73.950482,40.64912,0
295,68637,982074.0,76,PALMETTO STREET,Brooklyn,11221.0,40.69133,-73.919078,-73.918873,40.69119,0
297,67685,990673.0,601,WEST 29 STREET,Manhattan,10001.0,40.752825,-74.004681,-74.004988,40.75323,188
298,68633,975936.0,1207,BROADWAY,Brooklyn,11221.0,40.692151,-73.9267,-73.926484,40.6923,2
299,68634,979514.0,2325,BEAUMONT AVENUE,Bronx,10458.0,40.852996999999995,-73.885051,-73.88526800000001,40.85311,0
302,63252,6478.0,37,AVENUE B,Manhattan,10009.0,40.72276,-73.982889,-73.982629,40.72269,6
303,68107,3490.0,2232,ADAM C POWELL BOULEVARD,Manhattan,10027.0,40.813095000000004,-73.94533100000001,-73.94559100000001,40.813340000000004,11
304,68107,3495.0,2247,ADAM C POWELL BOULEVARD,Manhattan,10027.0,40.813539,-73.94498,-73.944622,40.81342,4
305,68107,3499.0,2251,ADAM C POWELL BOULEVARD,Manhattan,10027.0,40.813663,-73.94489,-73.94455400000001,40.813520000000004,3
306,68107,3500.0,2252,ADAM C POWELL BOULEVARD,Manhattan,10027.0,40.813734000000004,-73.944861,-73.94524,40.81389,6
307,68107,3501.0,2253,ADAM C POWELL BOULEVARD,Manhattan,10027.0,40.813726,-73.944843,-73.944471,40.813559999999995,3
308,68107,3502.0,2254,ADAM C POWELL BOULEVARD,Manhattan,10027.0,40.813796999999994,-73.944817,-73.945196,40.81395,5
309,68107,3503.0,2256,ADAM C POWELL BOULEVARD,Manhattan,10027.0,40.813857,-73.94476999999999,-73.945153,40.814009999999996,4
310,68107,3504.0,2258,ADAM C POWELL BOULEVARD,Manhattan,10027.0,40.81392,-73.944727,-73.94510600000001,40.81407,4
311,68107,3536.0,2300,ADAM C POWELL BOULEVARD,Manhattan,10030.0,40.81541,-73.943635,-73.943985,40.81561,4
312,68107,3538.0,2302,ADAM C POWELL BOULEVARD,Manhattan,10030.0,40.815462,-73.943598,-73.943938,40.815670000000004,5
313,68107,3540.0,2304,ADAM C POWELL BOULEVARD,Manhattan,10030.0,40.815515000000005,-73.943559,-73.94389100000001,40.81573,2
314,68107,3542.0,2306,ADAM C POWELL BOULEVARD,Manhattan,10030.0,40.815567,-73.943522,-73.94384699999999,40.81579,2
315,68107,3544.0,2308,ADAM C POWELL BOULEVARD,Manhattan,10030.0,40.815619,-73.943483,-73.943793,40.815870000000004,5
316,68107,3546.0,2310,ADAM C POWELL BOULEVARD,Manhattan,10030.0,40.815671,-73.943446,-73.94372800000001,40.81596,3
317,68107,3613.0,2484,ADAM C POWELL BOULEVARD,Manhattan,10030.0,40.821213,-73.939399,-73.93979200000001,40.82134,5
318,68107,40588.0,204,WEST 133 STREET,Manhattan,10030.0,40.814217,-73.94516,-73.945518,40.81412,14
319,68107,40589.0,206,WEST 133 STREET,Manhattan,10030.0,40.814236,-73.945203,-73.945637,40.814170000000004,7
320,68269,8230.0,4221,BROADWAY,Manhattan,10033.0,40.849035,-73.936977,-73.937299,40.84921,36
321,68269,27927.0,1091,ST NICHOLAS AVENUE,Manhattan,10032.0,40.838136999999996,-73.939915,-73.940272,40.838440000000006,43
322,68269,27942.0,1228,ST NICHOLAS AVENUE,Manhattan,10032.0,40.843198,-73.938193,-73.937763,40.84317,39
323,68269,27944.0,1245,ST NICHOLAS AVENUE,Manhattan,10032.0,40.843656,-73.937882,-73.938164,40.84381,31
324,68269,27964.0,1320,ST NICHOLAS AVENUE,Manhattan,10033.0,40.846194,-73.936,-73.93563499999999,40.84616,37
325,68269,28040.0,1621,ST NICHOLAS AVENUE,Manhattan,10040.0,40.855656,-73.929112,-73.929343,40.85587,29
326,68269,28043.0,600,WEST 192 STREET,Manhattan,10040.0,40.856238,-73.928866,-73.92916600000001,40.856120000000004,32
327,68269,43035.0,545,WEST 164 STREET,Manhattan,10032.0,40.837926,-73.94048199999999,-73.940345,40.83814,46
328,68269,43265.0,610,WEST 174 STREET,Manhattan,10033.0,40.844978999999995,-73.937516,-73.937816,40.84486,23
329,68631,978753.0,378,HARMAN STREET,Brooklyn,11237.0,40.701603000000006,-73.91719,-73.91700300000001,40.701440000000005,0
330,68632,396140.0,1129,WILLOUGHBY AVENUE,Brooklyn,11237.0,40.701735,-73.92529,,,0
333,67399,88783.0,1425,JEROME AVENUE,Bronx,10452.0,40.84114,-73.917689,-73.917938,40.84109,37
334,67464,122130.0,38,WEST GUN HILL ROAD,Bronx,10467.0,40.883334999999995,-73.88296600000001,-73.882847,40.88315,44
335,67606,67206.0,396,EAST 199 STREET,Bronx,10458.0,40.867005,-73.88461099999999,-73.88488199999999,40.86695,30
336,67606,120682.0,2843,WEBSTER AVENUE,Bronx,10458.0,40.866665000000005,-73.88468,-73.884799,40.866820000000004,30
337,67607,67814.0,19,EAST 213 STREET,Bronx,10467.0,40.884815,-73.878338,-73.878265,40.88501,65
338,68630,988276.0,1183,GATES AVENUE,Brooklyn,11221.0,40.691839,-73.919777,-73.919954,40.692009999999996,0
341,68628,990664.0,564,19 STREET,Brooklyn,11218.0,40.655252000000004,-73.980297,-73.980513,40.6551,0
342,68629,948051.0,804,JEFFERSON AVENUE,Brooklyn,11221.0,40.686139000000004,-73.925138,-73.925081,40.68591,0
346,68625,985839.0,3206,GLENWOOD ROAD,Brooklyn,11210.0,40.63412,-73.945676,,,0
347,68626,988077.0,3208,GLENWOOD ROAD,Brooklyn,11210.0,40.634122999999995,-73.945661,-73.945481,40.63388,0
349,68624,987192.0,461,WINTHROP STREET,Brooklyn,11203.0,40.657478000000005,-73.94451,-73.944698,40.657709999999994,0
352,67829,990653.0,45,COMMERCIAL STREET,Brooklyn,11222.0,40.736515999999995,-73.95809200000001,-73.958182,40.7369,42
353,68622,988069.0,1488,HERKIMER STREET,Brooklyn,11233.0,40.677164000000005,-73.904523,-73.90441899999999,40.67695,0
354,68623,979030.0,671,LIBERTY AVENUE,Brooklyn,11207.0,40.676111999999996,-73.885035,-73.885139,40.67631,0
355,68620,979689.0,2442,OCEAN AVENUE,Brooklyn,11229.0,40.602281,-73.95196800000001,-73.952339,40.60195,0
356,68621,980693.0,67,STANHOPE STREET,Brooklyn,11221.0,40.696256,-73.924813,-73.925026,40.69638,0
359,68618,351469.0,1294,PARK PLACE,Brooklyn,11213.0,40.672579999999996,-73.934656,-73.934606,40.672270000000005,0
360,68619,990883.0,1517,NEW YORK AVENUE,Brooklyn,11210.0,40.635638,-73.945026,,,0
362,68616,989485.0,1519,NEW YORK AVENUE,Brooklyn,11210.0,40.635602,-73.945022,-73.94471899999999,40.63572,0
363,68617,990335.0,3839,BRONXWOOD AVENUE,Bronx,10469.0,40.882937,-73.856408,-73.85669399999999,40.88303,0
365,67791,990486.0,308,LIVINGSTON STREET,Brooklyn,11217.0,40.68827,-73.982252,-73.982396,40.6881,9
366,68615,314073.0,246,HOWARD AVENUE,Brooklyn,11233.0,40.679577,-73.919348,-73.91969399999999,40.67958,0
370,66766,984244.0,30,KENT STREET,Brooklyn,11222.0,40.73035,-73.960177,-73.96006899999999,40.73007,6
371,68073,831979.0,3815,PUTNAM AVENUE WEST,Bronx,,,,,,88
375,68614,982091.0,801,DRIGGS AVENUE,Brooklyn,11211.0,40.711076,-73.961585,-73.96134,40.71098,0
377,65280,27617.0,9,SHERMAN AVENUE,Manhattan,10040.0,40.862427000000004,-73.929087,-73.928816,40.86222,84
380,68612,984675.0,32-27,35 STREET,Queens,11106.0,40.760089,-73.922496,-73.922453,40.759640000000005,0
381,68613,982222.0,716,BEACH AVENUE,Bronx,10473.0,40.819499,-73.863467,-73.86325,40.81978,0
382,68610,983875.0,1538,NEW YORK AVENUE,Brooklyn,11210.0,40.635275,-73.945008,-73.945314,40.635220000000004,0
383,68611,971363.0,96,HIMROD STREET,Brooklyn,11221.0,40.696129,-73.923739,-73.923454,40.69607,0
384,68585,40701.0,107,WEST 135 STREET,Manhattan,10030.0,40.814331,-73.941367,-73.941457,40.81467,18
385,68585,40702.0,111,WEST 135 STREET,Manhattan,10030.0,40.814383,-73.94149300000001,-73.941587,40.81472,18
386,68585,40703.0,115,WEST 135 STREET,Manhattan,10030.0,40.814438,-73.941616,-73.94171,40.81477,18
387,68585,40704.0,119,WEST 135 STREET,Manhattan,10030.0,40.81449,-73.941742,-73.941836,40.81483,24
388,68585,40705.0,123,WEST 135 STREET,Manhattan,10030.0,40.814545,-73.941869,-73.94196600000001,40.81488,22
389,68585,40706.0,127,WEST 135 STREET,Manhattan,10030.0,40.814597,-73.94199499999999,-73.942092,40.81493,22
390,68585,40707.0,131,WEST 135 STREET,Manhattan,10030.0,40.814648999999996,-73.942121,-73.942222,40.81499,22
391,68585,40708.0,135,WEST 135 STREET,Manhattan,10030.0,40.814704,-73.94224799999999,-73.942349,40.81504,18
392,68585,40709.0,139,WEST 135 STREET,Manhattan,10030.0,40.814756,-73.942371,-73.942475,40.815090000000005,18
393,68585,40710.0,143,WEST 135 STREET,Manhattan,10030.0,40.814938,-73.9428,-73.942598,40.81514,18
396,68608,969279.0,100,HIMROD STREET,Brooklyn,11221.0,40.696195,-73.92367,-73.923353,40.69617,0
397,68609,971364.0,98,HIMROD STREET,Brooklyn,11221.0,40.696162,-73.92370600000001,-73.923407,40.69612,0
398,65215,27196.0,156-20,RIVERSIDE DRIVE WEST,Manhattan,10032.0,40.835522999999995,-73.948764,-73.948138,40.83545,430
399,68606,214128.0,319,BROADWAY,Brooklyn,11211.0,40.708094,-73.956937,-73.956815,40.708290000000005,0
400,68607,387822.0,90,WALTON STREET,Brooklyn,11206.0,40.702565,-73.948736,-73.948711,40.70228,6
403,68605,303718.0,1052,GREENE AVENUE,Brooklyn,11221.0,40.691328999999996,-73.925619,-73.925634,40.6911,0
