,C/A,UNIT,SCP,STATION,LINENAME,DATE,ENTRIES,EXITS,PREV_DATE,PREV_ENTRIES,PREV_EXITS,DIFF_ENTRIES,DIFF_EXITS
4697,E005,R247,00-00-02,55 ST,D,09/20/2019,2373552,2010926,09/19/2019,2372798.0,2010490.0,754.0,436.0
4699,E009,R370,00-00-00,71 ST,D,09/15/2019,8206986,7619580,09/14/2019,8206089.0,7619108.0,897.0,472.0
4700,E009,R370,00-00-00,71 ST,D,09/16/2019,8207692,7619905,09/15/2019,8206986.0,7619580.0,706.0,325.0
4701,E009,R370,00-00-00,71 ST,D,09/17/2019,8209104,7620561,09/16/2019,8207692.0,7619905.0,1412.0,656.0
4702,E009,R370,00-00-00,71 ST,D,09/18/2019,8210585,7621250,09/17/2019,8209104.0,7620561.0,1481.0,689.0
4703,E009,R370,00-00-00,71 ST,D,09/19/2019,8212079,7621903,09/18/2019,8210585.0,7621250.0,1494.0,653.0
4704,E009,R370,00-00-00,71 ST,D,09/20/2019,8213530,7622575,09/19/2019,8212079.0,7621903.0,1451.0,672.0
4706,E009,R370,00-00-01,71 ST,D,09/15/2019,6492196,2772587,09/14/2019,6491646.0,2772421.0,550.0,166.0
4707,E009,R370,00-00-01,71 ST,D,09/16/2019,6492614,2772743,09/15/2019,6492196.0,2772587.0,418.0,156.0
4708,E009,R370,00-00-01,71 ST,D,09/17/2019,6493558,2772991,09/16/2019,6492614.0,2772743.0,944.0,248.0
4709,E009,R370,00-00-01,71 ST,D,09/18/2019,6494528,2773273,09/17/2019,6493558.0,2772991.0,970.0,282.0
4710,E009,R370,00-00-01,71 ST,D,09/19/2019,6495457,2773555,09/18/2019,6494528.0,2773273.0,929.0,282.0
4711,E009,R370,00-00-01,71 ST,D,09/20/2019,6496359,2773860,09/19/2019,6495457.0,2773555.0,902.0,305.0
4713,E009,R370,00-00-02,71 ST,D,09/15/2019,9563207,2383425,09/14/2019,9562267.0,2383265.0,940.0,160.0
4714,E009,R370,00-00-02,71 ST,D,09/16/2019,9563935,2383586,09/15/2019,9563207.0,2383425.0,728.0,161.0
4715,E009,R370,00-00-02,71 ST,D,09/17/2019,9565382,2383838,09/16/2019,9563935.0,2383586.0,1447.0,252.0
4716,E009,R370,00-00-02,71 ST,D,09/18/2019,9566853,2384117,09/17/2019,9565382.0,2383838.0,1471.0,279.0
4717,E009,R370,00-00-02,71 ST,D,09/19/2019,9568373,2384415,09/18/2019,9566853.0,2384117.0,1520.0,298.0
4718,E009,R370,00-00-02,71 ST,D,09/20/2019,9569858,2384655,09/19/2019,9568373.0,2384415.0,1485.0,240.0
4720,E009,R370,00-06-00,71 ST,D,09/15/2019,1188848,65128,09/14/2019,1187959.0,65004.0,889.0,124.0
4721,E009,R370,00-06-00,71 ST,D,09/16/2019,1189562,65244,09/15/2019,1188848.0,65128.0,714.0,116.0
4722,E009,R370,00-06-00,71 ST,D,09/17/2019,1191088,65369,09/16/2019,1189562.0,65244.0,1526.0,125.0
4723,E009,R370,00-06-00,71 ST,D,09/18/2019,1192664,65497,09/17/2019,1191088.0,65369.0,1576.0,128.0
4724,E009,R370,00-06-00,71 ST,D,09/19/2019,1194239,65611,09/18/2019,1192664.0,65497.0,1575.0,114.0
4725,E009,R370,00-06-00,71 ST,D,09/20/2019,1195822,65725,09/19/2019,1194239.0,65611.0,1583.0,114.0
4727,E009,R370,00-06-01,71 ST,D,09/15/2019,1781621,2879638,09/14/2019,1781320.0,2879277.0,301.0,361.0
4728,E009,R370,00-06-01,71 ST,D,09/16/2019,1781905,2879941,09/15/2019,1781621.0,2879638.0,284.0,303.0
4729,E009,R370,00-06-01,71 ST,D,09/17/2019,1782357,2880513,09/16/2019,1781905.0,2879941.0,452.0,572.0
4730,E009,R370,00-06-01,71 ST,D,09/18/2019,1782794,2881063,09/17/2019,1782357.0,2880513.0,437.0,550.0
4731,E009,R370,00-06-01,71 ST,D,09/19/2019,1783232,2881664,09/18/2019,1782794.0,2881063.0,438.0,601.0
4732,E009,R370,00-06-01,71 ST,D,09/20/2019,1783699,2882201,09/19/2019,1783232.0,2881664.0,467.0,537.0
4734,E011,R371,00-00-00,79 ST,D,09/15/2019,11477837,8993201,09/14/2019,11476701.0,8992727.0,1136.0,474.0
4735,E011,R371,00-00-00,79 ST,D,09/16/2019,11478803,8993652,09/15/2019,11477837.0,8993201.0,966.0,451.0
4736,E011,R371,00-00-00,79 ST,D,09/17/2019,11480895,8994504,09/16/2019,11478803.0,8993652.0,2092.0,852.0
4737,E011,R371,00-00-00,79 ST,D,09/18/2019,11482929,8995380,09/17/2019,11480895.0,8994504.0,2034.0,876.0
4738,E011,R371,00-00-00,79 ST,D,09/19/2019,11484950,8996273,09/18/2019,11482929.0,8995380.0,2021.0,893.0
4739,E011,R371,00-00-00,79 ST,D,09/20/2019,11486950,8997156,09/19/2019,11484950.0,8996273.0,2000.0,883.0
4741,E011,R371,00-00-01,79 ST,D,09/15/2019,4918592,1897017,09/14/2019,4917958.0,1896806.0,634.0,211.0
4742,E011,R371,00-00-01,79 ST,D,09/16/2019,4919135,1897193,09/15/2019,4918592.0,1897017.0,543.0,176.0
4743,E011,R371,00-00-01,79 ST,D,09/17/2019,4920367,1897647,09/16/2019,4919135.0,1897193.0,1232.0,454.0
4744,E011,R371,00-00-01,79 ST,D,09/18/2019,4921611,1898146,09/17/2019,4920367.0,1897647.0,1244.0,499.0
4745,E011,R371,00-00-01,79 ST,D,09/19/2019,4922818,1898583,09/18/2019,4921611.0,1898146.0,1207.0,437.0
4746,E011,R371,00-00-01,79 ST,D,09/20/2019,4924003,1899025,09/19/2019,4922818.0,1898583.0,1185.0,442.0
4748,E011,R371,00-00-02,79 ST,D,09/15/2019,10254299,2962915,09/14/2019,10253474.0,2962749.0,825.0,166.0
4749,E011,R371,00-00-02,79 ST,D,09/16/2019,10254956,2963052,09/15/2019,10254299.0,2962915.0,657.0,137.0
4750,E011,R371,00-00-02,79 ST,D,09/17/2019,10256429,2963452,09/16/2019,10254956.0,2963052.0,1473.0,400.0
4751,E011,R371,00-00-02,79 ST,D,09/18/2019,10257979,2963851,09/17/2019,10256429.0,2963452.0,1550.0,399.0
4752,E011,R371,00-00-02,79 ST,D,09/19/2019,10259528,2964301,09/18/2019,10257979.0,2963851.0,1549.0,450.0
4753,E011,R371,00-00-02,79 ST,D,09/20/2019,10261047,2964740,09/19/2019,10259528.0,2964301.0,1519.0,439.0
4755,E011,R371,00-06-00,79 ST,D,09/15/2019,4178334,525439,09/14/2019,4177298.0,525346.0,1036.0,93.0
4756,E011,R371,00-06-00,79 ST,D,09/16/2019,4179214,525547,09/15/2019,4178334.0,525439.0,880.0,108.0
4757,E011,R371,00-06-00,79 ST,D,09/17/2019,4180938,525656,09/16/2019,4179214.0,525547.0,1724.0,109.0
4758,E011,R371,00-06-00,79 ST,D,09/18/2019,4182872,525764,09/17/2019,4180938.0,525656.0,1934.0,108.0
4759,E011,R371,00-06-00,79 ST,D,09/19/2019,4184851,525907,09/18/2019,4182872.0,525764.0,1979.0,143.0
4760,E011,R371,00-06-00,79 ST,D,09/20/2019,4186822,526021,09/19/2019,4184851.0,525907.0,1971.0,114.0
4762,E011,R371,00-06-01,79 ST,D,09/15/2019,67826629,117707594,09/14/2019,67826370.0,117707371.0,259.0,223.0
4763,E011,R371,00-06-01,79 ST,D,09/16/2019,67826879,117707825,09/15/2019,67826629.0,117707594.0,250.0,231.0
4764,E011,R371,00-06-01,79 ST,D,09/17/2019,67827201,117708165,09/16/2019,67826879.0,117707825.0,322.0,340.0
4765,E011,R371,00-06-01,79 ST,D,09/18/2019,67827489,117708557,09/17/2019,67827201.0,117708165.0,288.0,392.0
4766,E011,R371,00-06-01,79 ST,D,09/19/2019,67827812,117708962,09/18/2019,67827489.0,117708557.0,323.0,405.0
4767,E011,R371,00-06-01,79 ST,D,09/20/2019,67828129,117709352,09/19/2019,67827812.0,117708962.0,317.0,390.0
4769,E012,R372,00-00-00,18 AV,D,09/15/2019,14839653,11377995,09/14/2019,14837793.0,11377474.0,1860.0,521.0
4770,E012,R372,00-00-00,18 AV,D,09/16/2019,14841332,11378475,09/15/2019,14839653.0,11377995.0,1679.0,480.0
4771,E012,R372,00-00-00,18 AV,D,09/17/2019,14844202,11379330,09/16/2019,14841332.0,11378475.0,2870.0,855.0
4772,E012,R372,00-00-00,18 AV,D,09/18/2019,14847130,11380160,09/17/2019,14844202.0,11379330.0,2928.0,830.0
4773,E012,R372,00-00-00,18 AV,D,09/19/2019,14850060,11381066,09/18/2019,14847130.0,11380160.0,2930.0,906.0
4774,E012,R372,00-00-00,18 AV,D,09/20/2019,14852896,11381869,09/19/2019,14850060.0,11381066.0,2836.0,803.0
4776,E012,R372,00-00-01,18 AV,D,09/15/2019,4225176,1455070,09/14/2019,4224150.0,1454761.0,1026.0,309.0
4777,E012,R372,00-00-01,18 AV,D,09/16/2019,4226052,1455339,09/15/2019,4225176.0,1455070.0,876.0,269.0
4778,E012,R372,00-00-01,18 AV,D,09/17/2019,4227870,1455839,09/16/2019,4226052.0,1455339.0,1818.0,500.0
4779,E012,R372,00-00-01,18 AV,D,09/18/2019,4229669,1456354,09/17/2019,4227870.0,1455839.0,1799.0,515.0
4780,E012,R372,00-00-01,18 AV,D,09/19/2019,4231551,1456870,09/18/2019,4229669.0,1456354.0,1882.0,516.0
4781,E012,R372,00-00-01,18 AV,D,09/20/2019,4233315,1457415,09/19/2019,4231551.0,1456870.0,1764.0,545.0
4783,E012,R372,00-00-02,18 AV,D,09/15/2019,2750578,561036,09/14/2019,2749484.0,560805.0,1094.0,231.0
4784,E012,R372,00-00-02,18 AV,D,09/16/2019,2751502,561237,09/15/2019,2750578.0,561036.0,924.0,201.0
4785,E012,R372,00-00-02,18 AV,D,09/17/2019,2753474,561579,09/16/2019,2751502.0,561237.0,1972.0,342.0
4786,E012,R372,00-00-02,18 AV,D,09/18/2019,2755459,561916,09/17/2019,2753474.0,561579.0,1985.0,337.0
4787,E012,R372,00-00-02,18 AV,D,09/19/2019,2757496,562334,09/18/2019,2755459.0,561916.0,2037.0,418.0
4788,E012,R372,00-00-02,18 AV,D,09/20/2019,2759564,562705,09/19/2019,2757496.0,562334.0,2068.0,371.0
4790,E013,R373,00-00-00,20 AV,D,09/15/2019,4548185,1623980,09/14/2019,4546641.0,1623637.0,1544.0,343.0
4791,E013,R373,00-00-00,20 AV,D,09/16/2019,4549492,1624266,09/15/2019,4548185.0,1623980.0,1307.0,286.0
4792,E013,R373,00-00-00,20 AV,D,09/17/2019,4551967,1624730,09/16/2019,4549492.0,1624266.0,2475.0,464.0
4793,E013,R373,00-00-00,20 AV,D,09/18/2019,4554456,1625225,09/17/2019,4551967.0,1624730.0,2489.0,495.0
4794,E013,R373,00-00-00,20 AV,D,09/19/2019,4556818,1625710,09/18/2019,4554456.0,1625225.0,2362.0,485.0
4795,E013,R373,00-00-00,20 AV,D,09/20/2019,4559239,1626181,09/19/2019,4556818.0,1625710.0,2421.0,471.0
4797,E013,R373,00-00-01,20 AV,D,09/15/2019,7824681,4807567,09/14/2019,7823805.0,4807295.0,876.0,272.0
4798,E013,R373,00-00-01,20 AV,D,09/16/2019,7825382,4807790,09/15/2019,7824681.0,4807567.0,701.0,223.0
4799,E013,R373,00-00-01,20 AV,D,09/17/2019,7826797,4808238,09/16/2019,7825382.0,4807790.0,1415.0,448.0
4800,E013,R373,00-00-01,20 AV,D,09/18/2019,7828239,4808663,09/17/2019,7826797.0,4808238.0,1442.0,425.0
4801,E013,R373,00-00-01,20 AV,D,09/19/2019,7829684,4809033,09/18/2019,7828239.0,4808663.0,1445.0,370.0
4802,E013,R373,00-00-01,20 AV,D,09/20/2019,7831144,4809496,09/19/2019,7829684.0,4809033.0,1460.0,463.0
4804,E013,R373,00-00-02,20 AV,D,09/15/2019,1083119,389738,09/14/2019,1082161.0,389441.0,958.0,297.0
4805,E013,R373,00-00-02,20 AV,D,09/16/2019,1084002,389990,09/15/2019,1083119.0,389738.0,883.0,252.0
4806,E013,R373,00-00-02,20 AV,D,09/17/2019,1085583,390464,09/16/2019,1084002.0,389990.0,1581.0,474.0
4807,E013,R373,00-00-02,20 AV,D,09/18/2019,1087200,390997,09/17/2019,1085583.0,390464.0,1617.0,533.0
4808,E013,R373,00-00-02,20 AV,D,09/19/2019,1088879,391520,09/18/2019,1087200.0,390997.0,1679.0,523.0
4809,E013,R373,00-00-02,20 AV,D,09/20/2019,1090542,392055,09/19/2019,1088879.0,391520.0,1663.0,535.0
4811,E014,R374,00-00-00,BAY PKWY,D,09/15/2019,14786660,11868797,09/14/2019,14785094.0,11867490.0,1566.0,1307.0
4812,E014,R374,00-00-00,BAY PKWY,D,09/16/2019,14788074,11870060,09/15/2019,14786660.0,11868797.0,1414.0,1263.0
4813,E014,R374,00-00-00,BAY PKWY,D,09/17/2019,14790674,11872106,09/16/2019,14788074.0,11870060.0,2600.0,2046.0
4814,E014,R374,00-00-00,BAY PKWY,D,09/18/2019,14793266,11874147,09/17/2019,14790674.0,11872106.0,2592.0,2041.0
4815,E014,R374,00-00-00,BAY PKWY,D,09/19/2019,14795859,11876092,09/18/2019,14793266.0,11874147.0,2593.0,1945.0
4816,E014,R374,00-00-00,BAY PKWY,D,09/20/2019,14798406,11878146,09/19/2019,14795859.0,11876092.0,2547.0,2054.0
4818,E014,R374,00-00-01,BAY PKWY,D,09/15/2019,2782120,2931812,09/14/2019,2781237.0,2930760.0,883.0,1052.0
4819,E014,R374,00-00-01,BAY PKWY,D,09/16/2019,2782845,2932743,09/15/2019,2782120.0,2931812.0,725.0,931.0
4820,E014,R374,00-00-01,BAY PKWY,D,09/17/2019,2784352,2934302,09/16/2019,2782845.0,2932743.0,1507.0,1559.0
4821,E014,R374,00-00-01,BAY PKWY,D,09/18/2019,2785902,2935940,09/17/2019,2784352.0,2934302.0,1550.0,1638.0
4822,E014,R374,00-00-01,BAY PKWY,D,09/19/2019,2787503,2937567,09/18/2019,2785902.0,2935940.0,1601.0,1627.0
4823,E014,R374,00-00-01,BAY PKWY,D,09/20/2019,2789026,2939116,09/19/2019,2787503.0,2937567.0,1523.0,1549.0
4825,E014,R374,00-00-02,BAY PKWY,D,09/15/2019,8191935,10690407,09/14/2019,8191322.0,10689508.0,613.0,899.0
4826,E014,R374,00-00-02,BAY PKWY,D,09/16/2019,8192447,10691222,09/15/2019,8191935.0,10690407.0,512.0,815.0
4827,E014,R374,00-00-02,BAY PKWY,D,09/17/2019,8193510,10692610,09/16/2019,8192447.0,10691222.0,1063.0,1388.0
4828,E014,R374,00-00-02,BAY PKWY,D,09/18/2019,8194535,10694051,09/17/2019,8193510.0,10692610.0,1025.0,1441.0
4829,E014,R374,00-00-02,BAY PKWY,D,09/19/2019,8195553,10695499,09/18/2019,8194535.0,10694051.0,1018.0,1448.0
4830,E014,R374,00-00-02,BAY PKWY,D,09/20/2019,8196566,10696905,09/19/2019,8195553.0,10695499.0,1013.0,1406.0
4832,E014,R374,00-00-03,BAY PKWY,D,09/15/2019,10995350,12424758,09/14/2019,10994621.0,12423821.0,729.0,937.0
4833,E014,R374,00-00-03,BAY PKWY,D,09/16/2019,10995990,12425601,09/15/2019,10995350.0,12424758.0,640.0,843.0
4834,E014,R374,00-00-03,BAY PKWY,D,09/17/2019,10997114,12427043,09/16/2019,10995990.0,12425601.0,1124.0,1442.0
4835,E014,R374,00-00-03,BAY PKWY,D,09/18/2019,10998281,12428595,09/17/2019,10997114.0,12427043.0,1167.0,1552.0
4836,E014,R374,00-00-03,BAY PKWY,D,09/19/2019,10999455,12430085,09/18/2019,10998281.0,12428595.0,1174.0,1490.0
4837,E014,R374,00-00-03,BAY PKWY,D,09/20/2019,11000662,12431524,09/19/2019,10999455.0,12430085.0,1207.0,1439.0
4839,E014,R374,00-00-04,BAY PKWY,D,09/15/2019,2584274,1121079,09/14/2019,2583040.0,1120566.0,1234.0,513.0
4840,E014,R374,00-00-04,BAY PKWY,D,09/16/2019,2585347,1121538,09/15/2019,2584274.0,1121079.0,1073.0,459.0
4841,E014,R374,00-00-04,BAY PKWY,D,09/17/2019,2587276,1122391,09/16/2019,2585347.0,1121538.0,1929.0,853.0
4842,E014,R374,00-00-04,BAY PKWY,D,09/18/2019,2589260,1123268,09/17/2019,2587276.0,1122391.0,1984.0,877.0
4843,E014,R374,00-00-04,BAY PKWY,D,09/19/2019,2591217,1124264,09/18/2019,2589260.0,1123268.0,1957.0,996.0
4844,E014,R374,00-00-04,BAY PKWY,D,09/20/2019,2593217,1125106,09/19/2019,2591217.0,1124264.0,2000.0,842.0
4846,E014,R374,00-05-00,BAY PKWY,D,09/15/2019,150995914,0,09/14/2019,150995914.0,0.0,0.0,0.0
4847,E014,R374,00-05-00,BAY PKWY,D,09/16/2019,150995914,0,09/15/2019,150995914.0,0.0,0.0,0.0
4848,E014,R374,00-05-00,BAY PKWY,D,09/17/2019,150995914,0,09/16/2019,150995914.0,0.0,0.0,0.0
4849,E014,R374,00-05-00,BAY PKWY,D,09/18/2019,150995914,0,09/17/2019,150995914.0,0.0,0.0,0.0
4850,E014,R374,00-05-00,BAY PKWY,D,09/19/2019,150995914,0,09/18/2019,150995914.0,0.0,0.0,0.0
4851,E014,R374,00-05-00,BAY PKWY,D,09/20/2019,150995916,0,09/19/2019,150995914.0,0.0,2.0,0.0
4853,E014,R374,00-05-01,BAY PKWY,D,09/15/2019,100663296,126,09/14/2019,100663296.0,126.0,0.0,0.0
4854,E014,R374,00-05-01,BAY PKWY,D,09/16/2019,100663296,126,09/15/2019,100663296.0,126.0,0.0,0.0
4855,E014,R374,00-05-01,BAY PKWY,D,09/17/2019,100663296,126,09/16/2019,100663296.0,126.0,0.0,0.0
4856,E014,R374,00-05-01,BAY PKWY,D,09/18/2019,100663296,126,09/17/2019,100663296.0,126.0,0.0,0.0
4857,E014,R374,00-05-01,BAY PKWY,D,09/19/2019,100663296,126,09/18/2019,100663296.0,126.0,0.0,0.0
4858,E014,R374,00-05-01,BAY PKWY,D,09/20/2019,100663296,126,09/19/2019,100663296.0,126.0,0.0,0.0
4860,E015,R399,00-00-00,25 AV,D,09/15/2019,3614929,774466,09/14/2019,3613999.0,774262.0,930.0,204.0
4861,E015,R399,00-00-00,25 AV,D,09/16/2019,3615673,774660,09/15/2019,3614929.0,774466.0,744.0,194.0
4862,E015,R399,00-00-00,25 AV,D,09/17/2019,3617471,774939,09/16/2019,3615673.0,774660.0,1798.0,279.0
4863,E015,R399,00-00-00,25 AV,D,09/18/2019,3619259,775237,09/17/2019,3617471.0,774939.0,1788.0,298.0
4864,E015,R399,00-00-00,25 AV,D,09/19/2019,3621070,775542,09/18/2019,3619259.0,775237.0,1811.0,305.0
4865,E015,R399,00-00-00,25 AV,D,09/20/2019,3623021,775830,09/19/2019,3621070.0,775542.0,1951.0,288.0
4867,E015,R399,00-00-01,25 AV,D,09/15/2019,1727074,378140,09/14/2019,1726350.0,377961.0,724.0,179.0
4868,E015,R399,00-00-01,25 AV,D,09/16/2019,1727708,378277,09/15/2019,1727074.0,378140.0,634.0,137.0
4869,E015,R399,00-00-01,25 AV,D,09/17/2019,1729121,378532,09/16/2019,1727708.0,378277.0,1413.0,255.0
4870,E015,R399,00-00-01,25 AV,D,09/18/2019,1730555,378794,09/17/2019,1729121.0,378532.0,1434.0,262.0
4871,E015,R399,00-00-01,25 AV,D,09/19/2019,1732062,379046,09/18/2019,1730555.0,378794.0,1507.0,252.0
4872,E015,R399,00-00-01,25 AV,D,09/20/2019,1733603,379314,09/19/2019,1732062.0,379046.0,1541.0,268.0
4874,E015,R399,00-00-02,25 AV,D,09/15/2019,4723643,1655437,09/14/2019,4722284.0,1655040.0,1359.0,397.0
4875,E015,R399,00-00-02,25 AV,D,09/16/2019,4724752,1655814,09/15/2019,4723643.0,1655437.0,1109.0,377.0
4876,E015,R399,00-00-02,25 AV,D,09/17/2019,4727108,1656394,09/16/2019,4724752.0,1655814.0,2356.0,580.0
4877,E015,R399,00-00-02,25 AV,D,09/18/2019,4729487,1657023,09/17/2019,4727108.0,1656394.0,2379.0,629.0
4878,E015,R399,00-00-02,25 AV,D,09/19/2019,4731826,1657629,09/18/2019,4729487.0,1657023.0,2339.0,606.0
4879,E015,R399,00-00-02,25 AV,D,09/20/2019,4734156,1658287,09/19/2019,4731826.0,1657629.0,2330.0,658.0
4881,E016,R400,00-00-00,BAY 50 ST,D,09/15/2019,7803953,6902116,09/14/2019,7803152.0,6901956.0,801.0,160.0
4882,E016,R400,00-00-00,BAY 50 ST,D,09/16/2019,7804579,6902236,09/15/2019,7803953.0,6902116.0,626.0,120.0
4883,E016,R400,00-00-00,BAY 50 ST,D,09/17/2019,7805877,6902578,09/16/2019,7804579.0,6902236.0,1298.0,342.0
4884,E016,R400,00-00-00,BAY 50 ST,D,09/18/2019,7807228,6902944,09/17/2019,7805877.0,6902578.0,1351.0,366.0
4885,E016,R400,00-00-00,BAY 50 ST,D,09/19/2019,7808651,6903285,09/18/2019,7807228.0,6902944.0,1423.0,341.0
4886,E016,R400,00-00-00,BAY 50 ST,D,09/20/2019,7809981,6903668,09/19/2019,7808651.0,6903285.0,1330.0,383.0
4888,E016,R400,00-00-01,BAY 50 ST,D,09/15/2019,1083302,225327,09/14/2019,1082861.0,225270.0,441.0,57.0
4889,E016,R400,00-00-01,BAY 50 ST,D,09/16/2019,1083649,225376,09/15/2019,1083302.0,225327.0,347.0,49.0
4890,E016,R400,00-00-01,BAY 50 ST,D,09/17/2019,1084420,225560,09/16/2019,1083649.0,225376.0,771.0,184.0
4891,E016,R400,00-00-01,BAY 50 ST,D,09/18/2019,1085254,225743,09/17/2019,1084420.0,225560.0,834.0,183.0
4892,E016,R400,00-00-01,BAY 50 ST,D,09/19/2019,1086072,225922,09/18/2019,1085254.0,225743.0,818.0,179.0
4893,E016,R400,00-00-01,BAY 50 ST,D,09/20/2019,1086870,226155,09/19/2019,1086072.0,225922.0,798.0,233.0
4895,E016,R400,00-00-02,BAY 50 ST,D,09/15/2019,3913538,1824251,09/14/2019,3913066.0,1824172.0,472.0,79.0
4896,E016,R400,00-00-02,BAY 50 ST,D,09/16/2019,3913903,1824333,09/15/2019,3913538.0,1824251.0,365.0,82.0
4897,E016,R400,00-00-02,BAY 50 ST,D,09/17/2019,3914767,1824518,09/16/2019,3913903.0,1824333.0,864.0,185.0
4898,E016,R400,00-00-02,BAY 50 ST,D,09/18/2019,3915687,1824703,09/17/2019,3914767.0,1824518.0,920.0,185.0
4899,E016,R400,00-00-02,BAY 50 ST,D,09/19/2019,3916616,1824881,09/18/2019,3915687.0,1824703.0,929.0,178.0
4900,E016,R400,00-00-02,BAY 50 ST,D,09/20/2019,3917523,1825053,09/19/2019,3916616.0,1824881.0,907.0,172.0
5329,H009,R235,00-00-00,BEDFORD AV,L,09/15/2019,31571,4945,09/14/2019,31571.0,4926.0,0.0,19.0
5330,H009,R235,00-00-00,BEDFORD AV,L,09/16/2019,31571,4955,09/15/2019,31571.0,4945.0,0.0,10.0
5331,H009,R235,00-00-00,BEDFORD AV,L,09/17/2019,33366,5179,09/16/2019,31571.0,4955.0,1795.0,224.0
5332,H009,R235,00-00-00,BEDFORD AV,L,09/18/2019,35302,5428,09/17/2019,33366.0,5179.0,1936.0,249.0
5333,H009,R235,00-00-00,BEDFORD AV,L,09/19/2019,37173,5681,09/18/2019,35302.0,5428.0,1871.0,253.0
5334,H009,R235,00-00-00,BEDFORD AV,L,09/20/2019,39155,5982,09/19/2019,37173.0,5681.0,1982.0,301.0
5336,H009,R235,00-00-01,BEDFORD AV,L,09/15/2019,2835451,2442761,09/14/2019,2835451.0,2442755.0,0.0,6.0
5337,H009,R235,00-00-01,BEDFORD AV,L,09/16/2019,2835451,2442764,09/15/2019,2835451.0,2442761.0,0.0,3.0
5338,H009,R235,00-00-01,BEDFORD AV,L,09/17/2019,2837271,2443274,09/16/2019,2835451.0,2442764.0,1820.0,510.0
5339,H009,R235,00-00-01,BEDFORD AV,L,09/18/2019,2839312,2443799,09/17/2019,2837271.0,2443274.0,2041.0,525.0
5340,H009,R235,00-00-01,BEDFORD AV,L,09/19/2019,2841254,2444405,09/18/2019,2839312.0,2443799.0,1942.0,606.0
5341,H009,R235,00-00-01,BEDFORD AV,L,09/20/2019,2843246,2444979,09/19/2019,2841254.0,2444405.0,1992.0,574.0
5343,H009,R235,00-03-00,BEDFORD AV,L,09/15/2019,19538232,30002869,09/14/2019,19538232.0,30002867.0,0.0,2.0
5344,H009,R235,00-03-00,BEDFORD AV,L,09/16/2019,19538232,30002870,09/15/2019,19538232.0,30002869.0,0.0,1.0
5345,H009,R235,00-03-00,BEDFORD AV,L,09/17/2019,19539344,30003294,09/16/2019,19538232.0,30002870.0,1112.0,424.0
5346,H009,R235,00-03-00,BEDFORD AV,L,09/18/2019,19540542,30003791,09/17/2019,19539344.0,30003294.0,1198.0,497.0
5347,H009,R235,00-03-00,BEDFORD AV,L,09/19/2019,19541856,30004242,09/18/2019,19540542.0,30003791.0,1314.0,451.0
5348,H009,R235,00-03-00,BEDFORD AV,L,09/20/2019,19543138,30004704,09/19/2019,19541856.0,30004242.0,1282.0,462.0
5350,H009,R235,00-03-01,BEDFORD AV,L,09/15/2019,16907209,22571078,09/14/2019,16907209.0,22571076.0,0.0,2.0
5351,H009,R235,00-03-01,BEDFORD AV,L,09/16/2019,16907209,22571079,09/15/2019,16907209.0,22571078.0,0.0,1.0
5352,H009,R235,00-03-01,BEDFORD AV,L,09/17/2019,16908391,22571796,09/16/2019,16907209.0,22571079.0,1182.0,717.0
5353,H009,R235,00-03-01,BEDFORD AV,L,09/18/2019,16909622,22572518,09/17/2019,16908391.0,22571796.0,1231.0,722.0
5354,H009,R235,00-03-01,BEDFORD AV,L,09/19/2019,16910939,22573216,09/18/2019,16909622.0,22572518.0,1317.0,698.0
5355,H009,R235,00-03-01,BEDFORD AV,L,09/20/2019,16912281,22573966,09/19/2019,16910939.0,22573216.0,1342.0,750.0
5357,H009,R235,00-03-02,BEDFORD AV,L,09/15/2019,14680759,16153654,09/14/2019,14680759.0,16153651.0,0.0,3.0
5358,H009,R235,00-03-02,BEDFORD AV,L,09/16/2019,14680759,16153654,09/15/2019,14680759.0,16153654.0,0.0,0.0
5359,H009,R235,00-03-02,BEDFORD AV,L,09/17/2019,14682978,16154657,09/16/2019,14680759.0,16153654.0,2219.0,1003.0
5360,H009,R235,00-03-02,BEDFORD AV,L,09/18/2019,14685293,16155729,09/17/2019,14682978.0,16154657.0,2315.0,1072.0
5361,H009,R235,00-03-02,BEDFORD AV,L,09/19/2019,14687738,16156732,09/18/2019,14685293.0,16155729.0,2445.0,1003.0
5362,H009,R235,00-03-02,BEDFORD AV,L,09/20/2019,14690147,16157745,09/19/2019,14687738.0,16156732.0,2409.0,1013.0
5364,H009,R235,00-03-03,BEDFORD AV,L,09/15/2019,24906000,13883775,09/14/2019,24906000.0,13883771.0,0.0,4.0
5365,H009,R235,00-03-03,BEDFORD AV,L,09/16/2019,24906000,13883775,09/15/2019,24906000.0,13883775.0,0.0,0.0
5366,H009,R235,00-03-03,BEDFORD AV,L,09/17/2019,24909589,13885072,09/16/2019,24906000.0,13883775.0,3589.0,1297.0
5367,H009,R235,00-03-03,BEDFORD AV,L,09/18/2019,24913585,13886514,09/17/2019,24909589.0,13885072.0,3996.0,1442.0
5368,H009,R235,00-03-03,BEDFORD AV,L,09/19/2019,24917792,13887853,09/18/2019,24913585.0,13886514.0,4207.0,1339.0
5369,H009,R235,00-03-03,BEDFORD AV,L,09/20/2019,24921899,13889156,09/19/2019,24917792.0,13887853.0,4107.0,1303.0
