,C/A,UNIT,SCP,STATION,LINENAME,DATE,ENTRIES,EXITS,PREV_DATE,PREV_ENTRIES,PREV_EXITS,DIFF_ENTRIES,DIFF_EXITS,stationline,Latitude,Longitude
32,A002,R051,02-03-03,59 ST,NQR456,09/17/2019,5874950,6704070,09/16/2019,5873786.0,6703055.0,1164.0,1015.0,59 ST NQR456 station NYC,40.7613299,-73.9660387
33,A002,R051,02-03-03,59 ST,NQR456,09/18/2019,5876116,6705219,09/17/2019,5874950.0,6704070.0,1166.0,1149.0,59 ST NQR456 station NYC,40.7613299,-73.9660387
34,A002,R051,02-03-03,59 ST,NQR456,09/19/2019,5877377,6706335,09/18/2019,5876116.0,6705219.0,1261.0,1116.0,59 ST NQR456 station NYC,40.7613299,-73.9660387
35,A002,R051,02-03-03,59 ST,NQR456,09/20/2019,5878650,6707367,09/19/2019,5877377.0,6706335.0,1273.0,1032.0,59 ST NQR456 station NYC,40.7613299,-73.9660387
36,A002,R051,02-03-04,59 ST,NQR456,09/15/2019,7263360,3746810,09/14/2019,7262571.0,3746576.0,789.0,234.0,59 ST NQR456 station NYC,40.7613299,-73.9660387
37,A002,R051,02-03-04,59 ST,NQR456,09/16/2019,7264051,3746979,09/15/2019,7263360.0,3746810.0,691.0,169.0,59 ST NQR456 station NYC,40.7613299,-73.9660387
38,A002,R051,02-03-04,59 ST,NQR456,09/17/2019,7265351,3747528,09/16/2019,7264051.0,3746979.0,1300.0,549.0,59 ST NQR456 station NYC,40.7613299,-73.9660387
39,A002,R051,02-03-04,59 ST,NQR456,09/18/2019,7266704,3748082,09/17/2019,7265351.0,3747528.0,1353.0,554.0,59 ST NQR456 station NYC,40.7613299,-73.9660387
40,A002,R051,02-03-04,59 ST,NQR456,09/19/2019,7268118,3748591,09/18/2019,7266704.0,3748082.0,1414.0,509.0,59 ST NQR456 station NYC,40.7613299,-73.9660387
41,A002,R051,02-03-04,59 ST,NQR456,09/20/2019,7269565,3749139,09/19/2019,7268118.0,3748591.0,1447.0,548.0,59 ST NQR456 station NYC,40.7613299,-73.9660387
42,A002,R051,02-03-05,59 ST,NQR456,09/15/2019,11631277,1414662,09/14/2019,11629970.0,1414590.0,1307.0,72.0,59 ST NQR456 station NYC,40.7613299,-73.9660387
43,A002,R051,02-03-05,59 ST,NQR456,09/16/2019,11632374,1414701,09/15/2019,11631277.0,1414662.0,1097.0,39.0,59 ST NQR456 station NYC,40.7613299,-73.9660387
44,A002,R051,02-03-05,59 ST,NQR456,09/17/2019,11634385,1414820,09/16/2019,11632374.0,1414701.0,2011.0,119.0,59 ST NQR456 station NYC,40.7613299,-73.9660387
45,A002,R051,02-03-05,59 ST,NQR456,09/18/2019,11636514,1414983,09/17/2019,11634385.0,1414820.0,2129.0,163.0,59 ST NQR456 station NYC,40.7613299,-73.9660387
46,A002,R051,02-03-05,59 ST,NQR456,09/19/2019,11638688,1415131,09/18/2019,11636514.0,1414983.0,2174.0,148.0,59 ST NQR456 station NYC,40.7613299,-73.9660387
47,A002,R051,02-03-05,59 ST,NQR456,09/20/2019,11640755,1415272,09/19/2019,11638688.0,1415131.0,2067.0,141.0,59 ST NQR456 station NYC,40.7613299,-73.9660387
48,A002,R051,02-03-06,59 ST,NQR456,09/15/2019,9106088,502404,09/14/2019,9105329.0,502384.0,759.0,20.0,59 ST NQR456 station NYC,40.7613299,-73.9660387
49,A002,R051,02-03-06,59 ST,NQR456,09/16/2019,9106675,502425,09/15/2019,9106088.0,502404.0,587.0,21.0,59 ST NQR456 station NYC,40.7613299,-73.9660387
50,A002,R051,02-03-06,59 ST,NQR456,09/17/2019,9108186,502452,09/16/2019,9106675.0,502425.0,1511.0,27.0,59 ST NQR456 station NYC,40.7613299,-73.9660387
51,A002,R051,02-03-06,59 ST,NQR456,09/18/2019,9109736,502475,09/17/2019,9108186.0,502452.0,1550.0,23.0,59 ST NQR456 station NYC,40.7613299,-73.9660387
52,A002,R051,02-03-06,59 ST,NQR456,09/19/2019,9111291,502506,09/18/2019,9109736.0,502475.0,1555.0,31.0,59 ST NQR456 station NYC,40.7613299,-73.9660387
53,A002,R051,02-03-06,59 ST,NQR456,09/20/2019,9112930,502531,09/19/2019,9111291.0,502506.0,1639.0,25.0,59 ST NQR456 station NYC,40.7613299,-73.9660387
54,A002,R051,02-05-00,59 ST,NQR456,09/15/2019,165,0,09/14/2019,164.0,0.0,1.0,0.0,59 ST NQR456 station NYC,40.7613299,-73.9660387
55,A002,R051,02-05-00,59 ST,NQR456,09/16/2019,165,0,09/15/2019,165.0,0.0,0.0,0.0,59 ST NQR456 station NYC,40.7613299,-73.9660387
56,A002,R051,02-05-00,59 ST,NQR456,09/17/2019,166,0,09/16/2019,165.0,0.0,1.0,0.0,59 ST NQR456 station NYC,40.7613299,-73.9660387
57,A002,R051,02-05-00,59 ST,NQR456,09/18/2019,166,0,09/17/2019,166.0,0.0,0.0,0.0,59 ST NQR456 station NYC,40.7613299,-73.9660387
58,A002,R051,02-05-00,59 ST,NQR456,09/19/2019,166,0,09/18/2019,166.0,0.0,0.0,0.0,59 ST NQR456 station NYC,40.7613299,-73.9660387
59,A002,R051,02-05-00,59 ST,NQR456,09/20/2019,166,0,09/19/2019,166.0,0.0,0.0,0.0,59 ST NQR456 station NYC,40.7613299,-73.9660387
60,A002,R051,02-05-01,59 ST,NQR456,09/15/2019,0,835,09/14/2019,0.0,835.0,0.0,0.0,59 ST NQR456 station NYC,40.7613299,-73.9660387
61,A002,R051,02-05-01,59 ST,NQR456,09/16/2019,0,836,09/15/2019,0.0,835.0,0.0,1.0,59 ST NQR456 station NYC,40.7613299,-73.9660387
62,A002,R051,02-05-01,59 ST,NQR456,09/17/2019,0,836,09/16/2019,0.0,836.0,0.0,0.0,59 ST NQR456 station NYC,40.7613299,-73.9660387
63,A002,R051,02-05-01,59 ST,NQR456,09/18/2019,0,836,09/17/2019,0.0,836.0,0.0,0.0,59 ST NQR456 station NYC,40.7613299,-73.9660387
64,A002,R051,02-05-01,59 ST,NQR456,09/19/2019,0,836,09/18/2019,0.0,836.0,0.0,0.0,59 ST NQR456 station NYC,40.7613299,-73.9660387
65,A002,R051,02-05-01,59 ST,NQR456,09/20/2019,0,836,09/19/2019,0.0,836.0,0.0,0.0,59 ST NQR456 station NYC,40.7613299,-73.9660387
66,A002,R051,02-06-00,59 ST,NQR456,09/15/2019,45440,2437,09/14/2019,44919.0,2391.0,521.0,46.0,59 ST NQR456 station NYC,40.7613299,-73.9660387
67,A002,R051,02-06-00,59 ST,NQR456,09/16/2019,45905,2468,09/15/2019,45440.0,2437.0,465.0,31.0,59 ST NQR456 station NYC,40.7613299,-73.9660387
68,A002,R051,02-06-00,59 ST,NQR456,09/17/2019,46932,2504,09/16/2019,45905.0,2468.0,1027.0,36.0,59 ST NQR456 station NYC,40.7613299,-73.9660387
69,A002,R051,02-06-00,59 ST,NQR456,09/18/2019,48068,2545,09/17/2019,46932.0,2504.0,1136.0,41.0,59 ST NQR456 station NYC,40.7613299,-73.9660387
70,A002,R051,02-06-00,59 ST,NQR456,09/19/2019,49213,2587,09/18/2019,48068.0,2545.0,1145.0,42.0,59 ST NQR456 station NYC,40.7613299,-73.9660387
71,A002,R051,02-06-00,59 ST,NQR456,09/20/2019,50315,2631,09/19/2019,49213.0,2587.0,1102.0,44.0,59 ST NQR456 station NYC,40.7613299,-73.9660387
72,A077,R028,03-00-00,FULTON ST,2345ACJZ,09/15/2019,177764,50137,09/14/2019,177229.0,50001.0,535.0,136.0,FULTON ST 2345ACJZ station NYC,40.7098694,-74.00702540000002
73,A077,R028,03-00-00,FULTON ST,2345ACJZ,09/16/2019,178184,50258,09/15/2019,177764.0,50137.0,420.0,121.0,FULTON ST 2345ACJZ station NYC,40.7098694,-74.00702540000002
74,A077,R028,03-00-00,FULTON ST,2345ACJZ,09/17/2019,179474,50548,09/16/2019,178184.0,50258.0,1290.0,290.0,FULTON ST 2345ACJZ station NYC,40.7098694,-74.00702540000002
75,A077,R028,03-00-00,FULTON ST,2345ACJZ,09/18/2019,180761,50854,09/17/2019,179474.0,50548.0,1287.0,306.0,FULTON ST 2345ACJZ station NYC,40.7098694,-74.00702540000002
76,A077,R028,03-00-00,FULTON ST,2345ACJZ,09/19/2019,182034,51144,09/18/2019,180761.0,50854.0,1273.0,290.0,FULTON ST 2345ACJZ station NYC,40.7098694,-74.00702540000002
77,A077,R028,03-00-00,FULTON ST,2345ACJZ,09/20/2019,183344,51435,09/19/2019,182034.0,51144.0,1310.0,291.0,FULTON ST 2345ACJZ station NYC,40.7098694,-74.00702540000002
78,A077,R028,03-03-00,FULTON ST,2345ACJZ,09/15/2019,4648701,2711409,09/14/2019,4648300.0,2710756.0,401.0,653.0,FULTON ST 2345ACJZ station NYC,40.7098694,-74.00702540000002
79,A077,R028,03-03-00,FULTON ST,2345ACJZ,09/16/2019,4649020,2711969,09/15/2019,4648701.0,2711409.0,319.0,560.0,FULTON ST 2345ACJZ station NYC,40.7098694,-74.00702540000002
80,A077,R028,03-03-00,FULTON ST,2345ACJZ,09/17/2019,4649829,2712924,09/16/2019,4649020.0,2711969.0,809.0,955.0,FULTON ST 2345ACJZ station NYC,40.7098694,-74.00702540000002
81,A077,R028,03-03-00,FULTON ST,2345ACJZ,09/18/2019,4650693,2713901,09/17/2019,4649829.0,2712924.0,864.0,977.0,FULTON ST 2345ACJZ station NYC,40.7098694,-74.00702540000002
82,A077,R028,03-03-00,FULTON ST,2345ACJZ,09/19/2019,4651557,2714983,09/18/2019,4650693.0,2713901.0,864.0,1082.0,FULTON ST 2345ACJZ station NYC,40.7098694,-74.00702540000002
83,A077,R028,03-03-00,FULTON ST,2345ACJZ,09/20/2019,4652351,2716166,09/19/2019,4651557.0,2714983.0,794.0,1183.0,FULTON ST 2345ACJZ station NYC,40.7098694,-74.00702540000002
84,A077,R028,03-03-01,FULTON ST,2345ACJZ,09/15/2019,1309603004,537750550,09/14/2019,1309602689.0,537750073.0,315.0,477.0,FULTON ST 2345ACJZ station NYC,40.7098694,-74.00702540000002
85,A077,R028,03-03-01,FULTON ST,2345ACJZ,09/16/2019,1309603271,537750922,09/15/2019,1309603004.0,537750550.0,267.0,372.0,FULTON ST 2345ACJZ station NYC,40.7098694,-74.00702540000002
86,A077,R028,03-03-01,FULTON ST,2345ACJZ,09/17/2019,1309603925,537751520,09/16/2019,1309603271.0,537750922.0,654.0,598.0,FULTON ST 2345ACJZ station NYC,40.7098694,-74.00702540000002
87,A077,R028,03-03-01,FULTON ST,2345ACJZ,09/18/2019,1309604623,537752158,09/17/2019,1309603925.0,537751520.0,698.0,638.0,FULTON ST 2345ACJZ station NYC,40.7098694,-74.00702540000002
