,ProjectID,BuildingID,Number,Street,Borough,Postcode,Latitude,Longitude,LowIncomeUnits
606,63840,957645.0,731,HERKIMER STREET,Brooklyn,11233.0,40.678515999999995,-73.929109,3
607,63840,957646.0,741,HERKIMER STREET,Brooklyn,11233.0,40.678505,-73.928943,6
608,63840,957647.0,751,HERKIMER STREET,Brooklyn,11233.0,40.678497,-73.928774,6
609,63840,957648.0,761,HERKIMER STREET,Brooklyn,11233.0,40.678469,-73.92825500000001,6
610,63840,957649.0,771,HERKIMER STREET,Brooklyn,11233.0,40.678455,-73.927952,6
611,63840,957650.0,781,HERKIMER STREET,Brooklyn,11233.0,40.678444,-73.927646,6
612,63840,957672.0,710,HERKIMER STREET,Brooklyn,11233.0,40.678519,-73.929434,5
613,63840,957673.0,720,HERKIMER STREET,Brooklyn,11233.0,40.678508,-73.929253,6
614,63840,957674.0,730,HERKIMER STREET,Brooklyn,11233.0,40.678497,-73.929073,6
615,63840,957675.0,740,HERKIMER STREET,Brooklyn,11233.0,40.678486,-73.928893,5
616,63840,957676.0,750,HERKIMER STREET,Brooklyn,11233.0,40.678475,-73.928713,6
617,63840,957678.0,18,HUNTERFLY PLACE,Brooklyn,11233.0,40.678302,-73.928446,6
618,63840,957680.0,26,HUNTERFLY PLACE,Brooklyn,11233.0,40.678239000000005,-73.928435,6
619,63840,967094.0,45,UTICA AVENUE,Brooklyn,11233.0,40.677806,-73.930267,18
620,63840,967097.0,29,UTICA AVENUE,Brooklyn,11233.0,40.678303,-73.930018,6
621,63843,185224.0,221,ASHLAND PLACE,Brooklyn,11217.0,40.688683000000005,-73.978452,20
622,63843,808304.0,36,FT GREENE PLACE,Brooklyn,11217.0,40.688666999999995,-73.976894,16
623,63843,809493.0,35,ST FELIX STREET,Brooklyn,11217.0,40.688694,-73.977712,16
624,63843,809494.0,42,ST FELIX STREET,Brooklyn,11217.0,40.68865,-73.977723,12
625,63843,809495.0,51,ST FELIX STREET,Brooklyn,11217.0,40.688332,-73.97764000000001,16
626,63844,310418.0,560,BELMONT AVENUE,Brooklyn,11207.0,40.671620000000004,-73.888788,6
627,63844,310442.0,475,HENDRIX STREET,Brooklyn,11207.0,40.669948,-73.888665,6
628,63844,367030.0,435,SCHENCK AVENUE,Brooklyn,11207.0,40.669936,-73.887724,12
629,63844,807675.0,520,BARBEY STREET,Brooklyn,11207.0,40.669841999999996,-73.886787,6
630,63844,807799.0,825,BLAKE AVENUE,Brooklyn,11207.0,40.668852,-73.888018,12
631,63844,807800.0,845,BLAKE AVENUE,Brooklyn,11207.0,40.668972,-73.88722800000001,12
632,63844,809347.0,380,SCHENCK AVENUE,Brooklyn,11207.0,40.671372,-73.888115,12
633,63844,809349.0,440,SCHENCK AVENUE,Brooklyn,11207.0,40.669856,-73.887724,12
634,63844,809652.0,815,SUTTER AVENUE,Brooklyn,11207.0,40.670390000000005,-73.888408,6
635,63844,809653.0,820,SUTTER AVENUE,Brooklyn,11207.0,40.670389,-73.888289,12
636,63844,853569.0,825,SUTTER AVENUE,Brooklyn,11207.0,40.670429999999996,-73.88812,6
637,63844,853570.0,390,SCHENCK AVENUE,Brooklyn,11207.0,40.671182,-73.888064,12
638,63844,853572.0,570,BELMONT AVENUE,Brooklyn,11207.0,40.671661,-73.8885,6
639,63844,853574.0,400,SCHENCK AVENUE,Brooklyn,11207.0,40.670993,-73.888018,12
640,63844,853674.0,830,SUTTER AVENUE,Brooklyn,11207.0,40.670433,-73.888001,12
641,63844,853676.0,485,HENDRIX STREET,Brooklyn,11207.0,40.669764,-73.88861800000001,6
642,63844,853692.0,835,BLAKE AVENUE,Brooklyn,11207.0,40.668896000000004,-73.887733,12
643,63844,853693.0,495,HENDRIX STREET,Brooklyn,11207.0,40.669577000000004,-73.888572,6
644,63844,853694.0,450,SCHENCK AVENUE,Brooklyn,11207.0,40.669672,-73.88767800000001,12
645,63844,853695.0,460,SCHENCK AVENUE,Brooklyn,11207.0,40.669486,-73.887631,12
646,63844,853712.0,855,BLAKE AVENUE,Brooklyn,11207.0,40.669013,-73.886943,12
647,63844,853714.0,445,SCHENCK AVENUE,Brooklyn,11207.0,40.669748999999996,-73.887674,12
648,63844,853715.0,455,SCHENCK AVENUE,Brooklyn,11207.0,40.669565000000006,-73.887627,12
649,63844,853716.0,840,SUTTER AVENUE,Brooklyn,11207.0,40.670507,-73.8875,12
650,63844,853717.0,850,SUTTER AVENUE,Brooklyn,11207.0,40.67055,-73.887215,12
651,63844,853718.0,530,BARBEY STREET,Brooklyn,11207.0,40.669658,-73.88674,6
652,60484,885781.0,523,PROSPECT PLACE,Brooklyn,11238.0,40.675602000000005,-73.958977,3
